,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,action_1,action_2,action_3,action_4,action_5,max_value,max_action
0,8.826152,8.16017,9.239245,8.666523,8.720905,3.2799885,2.937986,3.3132064,3.3081486,3.2016263,4.9136186,3.912623,4.8959093,4.51237,4.3497334,17.0197591,15.010779000000001,17.448360700000002,16.4870416,16.2722647,17.448360700000002,3
1,8.981631,8.386282,9.176628,8.804281,8.762747,3.3571198,3.0726728,3.3498757,3.375879,3.2394447,4.995112,4.0615487,4.9088826,4.562656,4.378664,17.3338628,15.5205035,17.435386299999998,16.742815999999998,16.380855699999998,17.435386299999998,3
2,8.998674,8.417545,9.10954,8.776629,8.764712,3.3914275,3.120381,3.367378,3.3993626,3.2666504,5.0049186,4.0955477,4.8876724,4.552731,4.3767123,17.3950201,15.6334737,17.3645904,16.728722599999998,16.4080747,17.3950201,1
3,9.027257,8.497228,9.084281,8.792606,8.819463,3.4205453,3.1775823,3.391916,3.4319735,3.3102636,5.0115814,4.144093,4.8799124,4.5551505,4.400054,17.4593837,15.8189033,17.3561094,16.77973,16.529780600000002,17.4593837,1
4,9.021356,8.566868,9.087862,8.803874,8.86763,3.4287617,3.2241442,3.4203641,3.451566,3.3487873,5.002451,4.1916413,4.8952427,4.555952,4.4283423,17.4525687,15.982653499999998,17.4034688,16.811391999999998,16.6447596,17.4525687,1
5,8.992872,8.660398,9.119989,8.836608,8.886342,3.4108958,3.2652225,3.4440374,3.4603052,3.3628037,4.9615088,4.2239046,4.9121614,4.5421367,4.427143,17.3652766,16.1495251,17.476187799999998,16.8390499,16.6762887,17.476187799999998,3
6,8.979831,8.751277,9.160765,8.899394,8.902683,3.39562,3.298668,3.4575593,3.4745157,3.3689198,4.922215,4.2501006,4.9140377,4.5380807,4.413649,17.297666,16.3000456,17.532362,16.9119904,16.6852518,17.532362,3
7,8.941279,8.786508,9.185943,8.943768,8.911513,3.3706563,3.3025134,3.4570324,3.477889,3.3706508,4.8734503,4.250789,4.8995323,4.533502,4.394679,17.1853856,16.3398104,17.5425077,16.955159000000002,16.6768428,17.5425077,3
8,8.921901,8.840722,9.217866,9.011303,8.92499,3.347625,3.309132,3.4572256,3.491465,3.3657591,4.82824,4.2537165,4.884688,4.5396934,4.3720865,17.097766,16.4035705,17.559779600000002,17.0424614,16.6628356,17.559779600000002,3
9,8.893195,8.882239,9.247405,9.06328,8.948032,3.3321161,3.322089,3.46422,3.5070546,3.3750703,4.7944255,4.2671094,4.8824396,4.552417,4.368414,17.0197366,16.4714374,17.594064600000003,17.1227516,16.691516299999996,17.594064600000003,3
