,HEAD1,HEAD1,HEAD1,HEAD1,HEAD1,HEAD2,HEAD2,HEAD2,HEAD2,HEAD2,HEAD3,HEAD3,HEAD3,HEAD3,HEAD3,FINALL,FINALL,FINALL,FINALL,FINALL,,
,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q_MAX,ACTION
0,3.000106,2.9304717,3.01248,2.987481,2.9918587,2.7572196,2.7265122,2.7413194,2.800278,2.7647197,3.04746,2.971344,2.9982815,3.0386524,3.026107,8.8047856,8.6283279,8.7520809,8.8264114,8.7826854,8.8264114,4
1,2.9789052,2.9439027,3.0176048,2.9654226,2.9764295,2.909341,2.901227,2.9079628,2.9134963,2.9082737,3.034379,2.9836411,2.9913177,3.0212815,3.0103006,8.9226252,8.8287708,8.9168853,8.9002004,8.8950038,8.9226252,1
2,2.9863088,2.9487877,3.0325065,2.9712348,2.9842434,2.9921935,2.977115,2.9938307,2.9768124,2.9849026,3.0459595,2.987938,2.9989865,3.0272942,3.017077,9.0244618,8.9138407,9.0253237,8.9753414,8.986223,9.0253237,3
3,2.9861784,2.9321947,3.0295815,2.963372,2.9785275,2.9968824,2.9639227,2.9942145,2.971358,2.982895,3.046768,2.969767,2.9935617,3.0188756,3.0097885,9.0298288,8.8658844,9.0173577,8.9536056,8.971211,9.0298288,1
4,2.9907863,2.9239457,3.0351224,2.963514,2.982646,3.0050085,2.9580412,3.0014958,2.97288,2.9894173,3.052167,2.960084,2.9962068,3.0184667,3.0121222,9.0479618,8.8420709,9.032825,8.9548607,8.9841855,9.0479618,1
5,2.991469,2.9174964,3.037185,2.9592814,2.985302,3.0085802,2.9524448,3.0044672,2.9695547,2.9935992,3.0536144,2.9521823,2.9957528,3.0137687,3.0133278,9.0536636,8.8221235,9.037405,8.9426048,8.992229,9.0536636,1
6,2.9907496,2.911296,3.0361643,2.9524212,2.986372,3.0107195,2.9470732,3.0046046,2.9638138,2.996297,3.0535452,2.944724,2.9925308,3.006479,3.0132332,9.0550143,8.8030932,9.0332997,8.922714,8.9959022,9.0550143,1
7,2.9878502,2.9068356,3.0322702,2.9443285,2.9857812,3.0111845,2.9437015,3.0017285,2.95699,2.997675,3.051502,2.938927,2.9862907,2.9982464,3.011685,9.0505367,8.7894641,9.0202894,8.8995649,8.9951412,9.0505367,1
8,2.9823241,2.910377,3.0264559,2.936287,2.986596,3.0101206,2.9482324,2.996278,2.950319,3.0005488,3.0475266,2.9409168,2.9777758,2.9908965,3.0117142,9.0399713,8.7995262,9.0005097,8.8775025,8.998859,9.0399713,1
9,2.982195,2.9228842,3.0327377,2.9385958,2.998295,3.014613,2.9614942,3.0025194,2.953616,3.0127597,3.0491326,2.9523194,2.9800878,2.9936116,3.0223489,9.0459406,8.8366978,9.0153449,8.8858234,9.0334036,9.0459406,1
10,2.9788504,2.9273064,3.0360558,2.9387612,3.0034752,3.0150611,2.9666433,3.005981,2.954469,3.0181665,3.0471392,2.9559743,2.9803734,2.9940095,3.026653,9.0410507,8.849924,9.0224102,8.8872397,9.0482947,9.0482947,5
11,2.9858441,2.9389815,3.0500193,2.955687,3.0177395,3.024838,2.9780896,3.020123,2.9710941,3.032047,3.0550141,2.9670784,2.9924984,3.010687,3.040494,9.0656962,8.8841495,9.0626407,8.9374681,9.0902805,9.0902805,5
